id,keyword,location,text,target,extracted_usernames,extracted_hashtags,extracted_urls,entities,word_count,char_count,entities_str
0,ablaze,,"Communal violence in Bhainsa, Telangana. ""Stones were pelted on Muslims' houses and some houses and vehicles were set ablaze…",1,[],[],[],"{'ORG': ['Communal', 'Stones'], 'GPE': ['Bhainsa', 'Telangana'], 'NORP': ['Muslims']}",19,125,"{'ORG': ['Communal', 'Stones'], 'GPE': ['Bhainsa', 'Telangana'], 'NORP': ['Muslims']}"
1,ablaze,,"Telangana: Section 144 has been imposed in Bhainsa from January 13 to 15, after clash erupted between two groups on January 12. Po…",1,[],[],[],"{'GPE': ['Bhainsa'], 'DATE': ['January 13 to 15', 'January 12'], 'CARDINAL': ['two'], 'ORG': ['Po']}",23,131,"{'GPE': ['Bhainsa'], 'DATE': ['January 13 to 15', 'January 12'], 'CARDINAL': ['two'], 'ORG': ['Po']}"
2,ablaze,New York City,Arsonist sets cars ablaze at dealership https://t.co/gOQvyJbpVI,1,[],[],['https://t.co/gOQvyJbpVI'],{},7,63,{}
3,ablaze,"Morgantown, WV",Arsonist sets cars ablaze at dealership https://t.co/0gL7NUCPlb https://t.co/u1CcBhOWh9,1,[],[],"['https://t.co/0gL7NUCPlb', 'https://t.co/u1CcBhOWh9']",{},8,87,{}
4,ablaze,,"""Lord Jesus, your love brings freedom and pardon. Fill me with your Holy Spirit and set my heart ablaze with your l… https://t.co/VlTznnPNi8",0,[],[],['https://t.co/VlTznnPNi8'],"{'PERSON': ['Jesus', 'https://t.co/VlTznnPNi8']}",23,140,"{'PERSON': ['Jesus', 'https://t.co/VlTznnPNi8']}"
5,ablaze,OC,"If this child was Chinese, this tweet would have gone viral. Social media would be ablaze. SNL would have made a racist j…",0,[],[],[],"{'NORP': ['Chinese'], 'ORG': ['SNL']}",23,122,"{'NORP': ['Chinese'], 'ORG': ['SNL']}"
6,ablaze,"London, England","Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2",1,[],[],['https://t.co/99uHGAzxy2'],"{'GPE': ['Ngemsibaa village'], 'ORG': ['Oku'], 'LOC': ['the North West Region']}",21,139,"{'GPE': ['Ngemsibaa village'], 'ORG': ['Oku'], 'LOC': ['the North West Region']}"
7,ablaze,Bharat,Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…,1,[],[],[],"{'ORG': ['BJP', 'BJP', 'TMC'], 'GPE': ['Salanpur village'], 'TIME': ['last night']}",24,131,"{'ORG': ['BJP', 'BJP', 'TMC'], 'GPE': ['Salanpur village'], 'TIME': ['last night']}"
8,ablaze,"Accra, Ghana","National Security Minister, Kan Dapaah's side chic has set the internet ablaze with her latest powerful video.… https://t.co/rhzOMQVSlj",0,[],[],['https://t.co/rhzOMQVSlj'],"{'ORG': ['National Security'], 'PERSON': [""Kan Dapaah's""]}",18,135,"{'ORG': ['National Security'], 'PERSON': [""Kan Dapaah's""]}"
9,ablaze,Searching,This creature who’s soul is no longer clarent but blue ablaze This thing Carrying memories Memories of… https://t.co/tBKSNDrDoX,0,[],[],['https://t.co/tBKSNDrDoX'],{},18,127,{}
10,ablaze,,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is reported…,1,[],"['Cameroon', 'Oku']",[],"{'PERSON': ['Cameroon', 'Oku']}",19,124,"{'PERSON': ['Cameroon', 'Oku']}"
11,ablaze,,Social media went bananas after Chuba Hubbard announced Monday evening his plans to return to #okstate. https://t.co/peN…,0,[],['okstate'],['https://t.co/peN…'],"{'ORG': ['Chuba Hubbard'], 'DATE': ['Monday'], 'TIME': ['evening']}",17,121,"{'ORG': ['Chuba Hubbard'], 'DATE': ['Monday'], 'TIME': ['evening']}"
12,ablaze,,Hausa youths set Area Office of Apapa-Iganmu Local Council Development Area ablaze. Okada Riders stormed the LG area office…,1,[],[],[],"{'ORG': ['Area Office of Apapa-Iganmu Local Council Development Area', 'LG'], 'GPE': ['Okada']}",19,124,"{'ORG': ['Area Office of Apapa-Iganmu Local Council Development Area', 'LG'], 'GPE': ['Okada']}"
13,ablaze,HYDERABAD,Under #MamataBanerjee political violence &amp; vandalism continues to unabated in West Bengal! office in Asanol was…,1,[],['MamataBanerjee'],[],"{'PERSON': ['MamataBanerjee'], 'GPE': ['West Bengal'], 'ORG': ['Asanol']}",16,116,"{'PERSON': ['MamataBanerjee'], 'GPE': ['West Bengal'], 'ORG': ['Asanol']}"
14,ablaze,"Reno, NV","AMEN! Set the whole system ablaze, man. https://t.co/J08xHDcGbD",0,[],[],['https://t.co/J08xHDcGbD'],"{'ORG': ['AMEN'], 'PERSON': ['https://t.co/J08xHDcGbD']}",8,63,"{'ORG': ['AMEN'], 'PERSON': ['https://t.co/J08xHDcGbD']}"
15,ablaze,,Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is… https://t.co/gIwZCH533D,1,[],"['Cameroon', 'Oku']",['https://t.co/gIwZCH533D'],"{'PERSON': ['Cameroon', 'Oku']}",19,139,"{'PERSON': ['Cameroon', 'Oku']}"
16,ablaze,,No cows today but our local factory is sadly still ablaze #REDJanuary2020 https://t.co/CMyuKzrcKz,1,[],['REDJanuary2020'],['https://t.co/CMyuKzrcKz'],"{'DATE': ['today'], 'CARDINAL': ['#']}",13,97,"{'DATE': ['today'], 'CARDINAL': ['#']}"
17,ablaze,,Rengoku sets my heart ablaze😔❤️🔥 P.s. I missed this style of coloring I do so here it is c: #鬼滅の刃 https://t.co/YrUF9g68s0,0,[],[],['https://t.co/YrUF9g68s0'],"{'PERSON': ['Rengoku', '😔❤️🔥 P.s']}",21,121,"{'PERSON': ['Rengoku', '😔❤️🔥 P.s']}"
18,ablaze,Worldwide,paulzizkaphoto: “Rundle Ablaze” Wishing you all a good evening... https://t.co/d0NlME1HQz https://t.co/hlVlT6qiIp,0,[],[],"['https://t.co/d0NlME1HQz', 'https://t.co/hlVlT6qiIp']",{'WORK_OF_ART': ['Rundle Ablaze']},11,113,{'WORK_OF_ART': ['Rundle Ablaze']}
19,ablaze,,French cameroun set houses ablaze in Ndu and roasted two young boys in their homes in #targeted killings in a #GenocideInSou…,1,[],"['targeted', 'GenocideInSou']",[],"{'NORP': ['French'], 'GPE': ['Ndu'], 'CARDINAL': ['two'], 'PERSON': ['GenocideInSou']}",21,125,"{'NORP': ['French'], 'GPE': ['Ndu'], 'CARDINAL': ['two'], 'PERSON': ['GenocideInSou']}"
20,ablaze,,Cameroon's #BIR soldiers on the 05/01/2020 invaded the #SouthernCameroons Village of Kimar - So setting ablaze a total of…,1,[],"['BIR', 'SouthernCameroons']",[],"{'ORG': ['Cameroon', 'Kimar - So'], 'PERSON': ['BIR']}",19,122,"{'ORG': ['Cameroon', 'Kimar - So'], 'PERSON': ['BIR']}"
21,ablaze,,As fires ablaze throughout the land/as the prophosized apocalypse comes to fruition/not a building standing/as we all come st…,1,[],[],[],{},19,126,{}
22,ablaze,Italy,"#ThankfulTuesday Isaiah 43:2 When you pass through the waters, I will be with you; and when you pass through the r… https://t.co/jEp3L1oU36",0,[],['ThankfulTuesday'],['https://t.co/jEp3L1oU36'],{'PERSON': ['ThankfulTuesday Isaiah']},22,139,{'PERSON': ['ThankfulTuesday Isaiah']}
23,ablaze,"` ˗ˏˋ i'm⠀waiting⠀for⠀you⠀to⠀pour⠀my⠀𝘀𝗶𝗻𝘀⠀onto⠀me⠀;⠀call⠀me⠀your⠀𝘭𝘰𝘷𝘦𝘳⠀whispering⠀hymns⠀to⠀my⠀ear⠀,⠀crucify⠀me⠀in⠀claims⠀of⠀praising⠀me .","⠀⠀When you walk through the fire, ⠀⠀you will not be scorched, and the ⠀⠀flames will not set you ablaze. ──── product…",0,[],[],[],{'PERSON': ['⠀⠀']},21,117,{'PERSON': ['⠀⠀']}
24,ablaze,Okielahoma,Originally they were intended to be fired at boarders or the opposing ship's crew from gunners in the ships's riggi… https://t.co/z5vPwuyBCL,1,[],[],['https://t.co/z5vPwuyBCL'],{},21,140,{}
25,ablaze,,Warm greetings to all on the occasion of #Lohri. As winter passes by may everyone's woes and troubles be set ablaze in t…,0,[],['Lohri'],[],"{'PERSON': ['Lohri'], 'DATE': ['winter']}",23,121,"{'PERSON': ['Lohri'], 'DATE': ['winter']}"
26,ablaze,,"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…",1,[],[],[],"{'GPE': ['Njikom', 'Boyo'], 'ORG': ['NWR', 'Council'], 'DATE': ['yesterday', '13/1/2020']}",18,127,"{'GPE': ['Njikom', 'Boyo'], 'ORG': ['NWR', 'Council'], 'DATE': ['yesterday', '13/1/2020']}"
27,ablaze,Havana 3am,"Another public market in #Haiti mysteriously set ablaze. The independent merchants, who are overwhelmingly women, become…",1,[],['Haiti'],[],{'GPE': ['Haiti']},16,121,{'GPE': ['Haiti']}
28,ablaze,,that is kind true sadly,0,[],[],[],{},5,23,{}
29,ablaze,,I swear that jam will set the world ablaze,0,[],[],[],{},9,42,{}
30,ablaze,,"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze. #I…",1,[],"['QassemSoleimani', 'I']",[],"{'PERSON': ['Marivan'], 'GPE': ['Kurdistan Province'], 'DATE': ['Monday, Jan 13th', '2020'], 'CARDINAL': ['#'], 'ORG': ['QassemSoleimani']}",16,119,"{'PERSON': ['Marivan'], 'GPE': ['Kurdistan Province'], 'DATE': ['Monday, Jan 13th', '2020'], 'CARDINAL': ['#'], 'ORG': ['QassemSoleimani']}"
31,ablaze,"Washington, DC","Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK",1,[],['QassemSoleimani'],['https://t.co/IVGCYJZlmK'],"{'PERSON': ['Marivan'], 'GPE': ['Kurdistan Province'], 'DATE': ['Monday, Jan 13th', '2020'], 'CARDINAL': ['#'], 'ORG': ['QassemSoleimani']}",16,139,"{'PERSON': ['Marivan'], 'GPE': ['Kurdistan Province'], 'DATE': ['Monday, Jan 13th', '2020'], 'CARDINAL': ['#'], 'ORG': ['QassemSoleimani']}"
32,ablaze,India,How can you turn a blind eye to the icident of setting ablaze more than 50 houses of H… https://t.co/UD84oQxg9K,1,[],[],['https://t.co/UD84oQxg9K'],"{'CARDINAL': ['more than 50'], 'ORG': ['H']}",20,111,"{'CARDINAL': ['more than 50'], 'ORG': ['H']}"
33,ablaze,"Salta, Argentina","This love is so completely crazy. You've been fucking with my dreams, ripped me like your torn up jeans. I don't ev… https://t.co/GCVYW5eZkb",0,[],[],['https://t.co/GCVYW5eZkb'],{},23,140,{}
34,accident,Wherever socks go in the dryer,Terms in A Demon Burning Dark: The Ruined: People who cannot use magic or interact with it without some harm or ac… https://t.co/ZEDawOfuu4,0,[],[],['https://t.co/ZEDawOfuu4'],{'ORG': ['ac']},23,139,{'ORG': ['ac']}
35,accident,Kuala Lumpur,"📷 Heartfelt appreciation to Prime Minister YAB Tun Dr. wife, YABhg. Tun Dr. Siti Hasmah Mohd Ali fo… https://t.co/YOwUp1BYUP",0,[],[],['https://t.co/YOwUp1BYUP'],"{'ORG': ['📷 Heartfelt', 'YABhg'], 'PERSON': ['YAB Tun', 'Siti Hasmah', 'Mohd Ali']}",19,124,"{'ORG': ['📷 Heartfelt', 'YABhg'], 'PERSON': ['YAB Tun', 'Siti Hasmah', 'Mohd Ali']}"
36,accident,,"#WATCH Former CM Akhilesh Yadav who went to meet injured of Kannauj accident, at a hospital in Chhibramau asks Emergency Med…",1,[],['WATCH'],[],"{'PERSON': ['Akhilesh Yadav'], 'ORG': ['Kannauj', 'Chhibramau']}",21,125,"{'PERSON': ['Akhilesh Yadav'], 'ORG': ['Kannauj', 'Chhibramau']}"
37,accident,"Sydney, New South Wales",❤️❤️❤️ he gave us everything... He had a horrible foot infection once so wore one thong… https://t.co/mA9sFl6Shw,0,[],[],['https://t.co/mA9sFl6Shw'],{'CARDINAL': ['one']},17,112,{'CARDINAL': ['one']}
38,accident,Nigeria,"😁yeah! His new swag is on point 100%, since the accident! Like this is a totally transformed Bob…",0,[],[],[],{'PERSON': ['Bob']},18,97,{'PERSON': ['Bob']}
39,accident,"Davanagere, India ","This is cool and all these days I have been doing ""git push origin CURRENT_BRANCH_NAME"". You know that… https://t.co/mr0YAGEWqj",0,[],[],['https://t.co/mr0YAGEWqj'],{},19,127,{}
40,accident,"Lyndhurst, OH",#Preorder #newrelease today! 12 witnesses connected to or investigating #THENUTCRACKERCONSPIRACY have died either in a…,1,[],"['Preorder', 'newrelease', 'THENUTCRACKERCONSPIRACY']",[],"{'DATE': ['today'], 'CARDINAL': ['12'], 'NORP': ['THENUTCRACKERCONSPIRACY']}",15,119,"{'DATE': ['today'], 'CARDINAL': ['12'], 'NORP': ['THENUTCRACKERCONSPIRACY']}"
